purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,160576,165012,10,0.0615
10,156328,325588,20,0.063
10,152257,481916,30,0.0645
10,148354,634173,40,0.0665
10,144609,782527,50,0.068
10,141014,927136,60,0.07
10,137562,1068150,70,0.072
10,134244,1205712,80,0.0735
10,131053,1339956,90,0.0755
10,127985,1471009,100,0.077
10,125031,1598994,110,0.079
10,122186,1724025,120,0.081
10,119447,1846211,130,0.0825
10,116806,1965658,140,0.0845
10,114260,2082464,150,0.0865
10,111804,2196724,160,0.0885
10,109433,2308528,170,0.0905
10,107144,2417961,180,0.0925
10,104934,2525105,190,0.0945
10,102797,2630039,200,0.096
10,100733,2732836,210,0.0985
10,98737,2833569,220,0.1005
10,96805,2932306,230,0.102
10,94936,3029111,240,0.1045
10,93127,3124047,250,0.1065
10,91375,3217174,260,0.1085
10,89678,3308549,270,0.1105
10,88033,3398227,280,0.1125
10,86439,3486260,290,0.1145
10,84892,3572699,300,0.1165
10,83394,3657591,310,0.119
10,81938,3740985,320,0.121
10,80526,3822923,330,0.123
10,79156,3903449,340,0.1255
10,77824,3982605,350,0.1275
10,76531,4060429,360,0.1295
10,75274,4136960,370,0.1315
10,74053,4212234,380,0.134
10,72865,4286287,390,0.136
10,71711,4359152,400,0.1385
10,70588,4430863,410,0.1405
10,69495,4501451,420,0.143
10,68432,4570946,430,0.145
10,67396,4639378,440,0.147
10,66389,4706774,450,0.1495
10,65407,4773163,460,0.1515
10,64450,4838570,470,0.154
10,63519,4903020,480,0.1565
10,62612,4966539,490,0.1585
10,61726,5029151,500,0.161
10,60863,5090877,510,0.163
10,60022,5151740,520,0.1655
10,59201,5211762,530,0.1675
10,58400,5270963,540,0.17
10,57619,5329363,550,0.1725
10,56856,5386982,560,0.1745
10,56112,5443838,570,0.177
10,55385,5499950,580,0.1795
10,54675,5555335,590,0.1815
10,53983,5610010,600,0.184
10,53305,5663993,610,0.1865
10,52643,5717298,620,0.1885
10,51996,5769941,630,0.191
10,51365,5821937,640,0.1935
10,50747,5873302,650,0.196
10,50142,5924049,660,0.198
10,49552,5974191,670,0.2005
10,48974,6023743,680,0.203
10,48408,6072717,690,0.2055
10,47856,6121125,700,0.208
10,47314,6168981,710,0.21
10,46785,6216295,720,0.2125
10,46266,6263080,730,0.215
10,45758,6309346,740,0.2175
10,45262,6355104,750,0.22
10,44775,6400366,760,0.222
10,44298,6445141,770,0.2245
10,43831,6489439,780,0.227
10,43373,6533270,790,0.2295
10,42925,6576643,800,0.232
10,42486,6619568,810,0.2345
10,42056,6662054,820,0.2365
10,41633,6704110,830,0.239
10,41219,6745743,840,0.2415
10,40814,6786962,850,0.244
10,40416,6827776,860,0.246
10,40025,6868192,870,0.2485
10,39643,6908217,880,0.251
10,39268,6947860,890,0.2535
10,38898,6987128,900,0.256
10,38538,7026026,910,0.2585
10,38183,7064564,920,0.2605
10,37834,7102747,930,0.263
10,37493,7140581,940,0.2655
10,37157,7178074,950,0.268
10,36828,7215231,960,0.2705
10,36505,7252059,970,0.273
10,36187,7288564,980,0.275
10,35874,7324751,990,0.2775
10,35569,7360625,1000,0.28
10,35267,7396194,1010,0.2825
10,34972,7431461,1020,0.285
10,34681,7466433,1030,0.2875
10,34396,7501114,1040,0.2895
10,34115,7535510,1050,0.292
10,33840,7569625,1060,0.2945
10,33568,7603465,1070,0.2965
10,33302,7637033,1080,0.299
10,33039,7670335,1090,0.3015
10,32783,7703374,1100,0.304
10,32529,7736157,1110,0.306
10,32279,7768686,1120,0.3085
10,32035,7800965,1130,0.311
10,31794,7833000,1140,0.3135
10,31557,7864794,1150,0.316
10,31324,7896351,1160,0.318
10,31094,7927675,1170,0.3205
10,30869,7958769,1180,0.323
10,30646,7989638,1190,0.325
10,30428,8020284,1200,0.3275
10,30213,8050712,1210,0.33
10,30000,8080925,1220,0.332
10,29793,8110925,1230,0.3345
10,29587,8140718,1240,0.337
10,29385,8170305,1250,0.3395
