purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,27690,27818,10,0.361
10,27564,55508,20,0.362
10,27438,83072,30,0.363
10,27313,110510,40,0.364
10,27189,137823,50,0.365
10,27065,165012,60,0.369
10,26943,192077,70,0.37
10,26822,219020,80,0.371
10,26701,245842,90,0.372
10,26582,272543,100,0.376
10,26463,299125,110,0.377
10,26344,325588,120,0.378
10,26228,351932,130,0.379
10,26111,378160,140,0.383
10,25996,404271,150,0.384
10,25881,430267,160,0.385
10,25768,456148,170,0.386
10,25654,481916,180,0.387
10,25542,507570,190,0.391
10,25431,533112,200,0.392
10,25319,558543,210,0.393
10,25210,583862,220,0.397
10,25101,609072,230,0.398
10,24992,634173,240,0.399
10,24885,659165,250,0.4
10,24778,684050,260,0.401
10,24671,708828,270,0.405
10,24567,733499,280,0.406
10,24461,758066,290,0.407
10,24357,782527,300,0.408
10,24255,806884,310,0.412
10,24151,831139,320,0.413
10,24050,855290,330,0.414
10,23948,879340,340,0.415
10,23848,903288,350,0.419
10,23748,927136,360,0.42
10,23649,950884,370,0.421
10,23551,974533,380,0.422
10,23452,998084,390,0.426
10,23356,1021536,400,0.427
10,23258,1044892,410,0.428
10,23163,1068150,420,0.432
10,23068,1091313,430,0.433
10,22973,1114381,440,0.434
10,22879,1137354,450,0.435
10,22786,1160233,460,0.439
10,22693,1183019,470,0.44
10,22601,1205712,480,0.441
10,22509,1228313,490,0.442
10,22418,1250822,500,0.446
10,22328,1273240,510,0.447
10,22239,1295568,520,0.448
10,22149,1317807,530,0.449
10,22060,1339956,540,0.453
10,21972,1362016,550,0.454
10,21885,1383988,560,0.455
10,21798,1405873,570,0.459
10,21712,1427671,580,0.46
10,21626,1449383,590,0.461
10,21541,1471009,600,0.462
10,21456,1492550,610,0.466
10,21372,1514006,620,0.467
10,21288,1535378,630,0.468
10,21205,1556666,640,0.469
10,21123,1577871,650,0.473
10,21040,1598994,660,0.474
10,20959,1620034,670,0.475
10,20878,1640993,680,0.479
10,20798,1661871,690,0.48
10,20717,1682669,700,0.481
10,20639,1703386,710,0.482
10,20559,1724025,720,0.486
10,20480,1744584,730,0.487
10,20403,1765064,740,0.488
10,20325,1785467,750,0.492
10,20248,1805792,760,0.493
10,20171,1826040,770,0.494
10,20096,1846211,780,0.495
10,20019,1866307,790,0.499
10,19945,1886326,800,0.5
10,19870,1906271,810,0.501
10,19795,1926141,820,0.505
10,19722,1945936,830,0.506
10,19649,1965658,840,0.507
10,19575,1985307,850,0.508
10,19503,2004882,860,0.512
10,19431,2024385,870,0.513
10,19360,2043816,880,0.514
10,19288,2063176,890,0.518
10,19218,2082464,900,0.519
10,19147,2101682,910,0.52
10,19078,2120829,920,0.524
10,19008,2139907,930,0.525
10,18939,2158915,940,0.526
10,18870,2177854,950,0.53
10,18802,2196724,960,0.531
10,18735,2215526,970,0.532
10,18666,2234261,980,0.533
10,18600,2252927,990,0.537
10,18534,2271527,1000,0.538
10,18467,2290061,1010,0.539
10,18401,2308528,1020,0.543
10,18336,2326929,1030,0.544
10,18270,2345265,1040,0.545
10,18206,2363535,1050,0.549
10,18142,2381741,1060,0.55
10,18078,2399883,1070,0.551
10,18014,2417961,1080,0.555
10,17951,2435975,1090,0.556
10,17888,2453926,1100,0.557
10,17825,2471814,1110,0.561
10,17764,2489639,1120,0.562
10,17702,2507403,1130,0.563
10,17640,2525105,1140,0.567
10,17580,2542745,1150,0.568
10,17518,2560325,1160,0.569
10,17459,2577843,1170,0.573
10,17398,2595302,1180,0.574
10,17339,2612700,1190,0.575
10,17279,2630039,1200,0.576
10,17220,2647318,1210,0.58
10,17162,2664538,1220,0.581
10,17103,2681700,1230,0.582
10,17046,2698803,1240,0.586
10,16987,2715849,1250,0.587
