purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,22703,22778,10,0.44
10,22628,45481,20,0.44
10,22554,68109,30,0.445
10,22480,90663,40,0.445
10,22406,113143,50,0.445
10,22332,135549,60,0.445
10,22259,157881,70,0.45
10,22187,180140,80,0.45
10,22115,202327,90,0.45
10,22043,224442,100,0.455
10,21971,246485,110,0.455
10,21900,268456,120,0.455
10,21829,290356,130,0.46
10,21759,312185,140,0.46
10,21689,333944,150,0.46
10,21619,355633,160,0.46
10,21549,377252,170,0.465
10,21481,398801,180,0.465
10,21412,420282,190,0.465
10,21344,441694,200,0.47
10,21275,463038,210,0.47
10,21208,484313,220,0.47
10,21141,505521,230,0.475
10,21074,526662,240,0.475
10,21007,547736,250,0.475
10,20941,568743,260,0.475
10,20874,589684,270,0.48
10,20810,610558,280,0.48
10,20743,631368,290,0.48
10,20679,652111,300,0.485
10,20614,672790,310,0.485
10,20550,693404,320,0.485
10,20486,713954,330,0.49
10,20422,734440,340,0.49
10,20358,754862,350,0.49
10,20296,775220,360,0.495
10,20233,795516,370,0.495
10,20170,815749,380,0.495
10,20108,835919,390,0.495
10,20046,856027,400,0.5
10,19984,876073,410,0.5
10,19923,896057,420,0.5
10,19863,915980,430,0.505
10,19801,935843,440,0.505
10,19741,955644,450,0.505
10,19681,975385,460,0.51
10,19621,995066,470,0.51
10,19562,1014687,480,0.51
10,19502,1034249,490,0.515
10,19444,1053751,500,0.515
10,19384,1073195,510,0.515
10,19327,1092579,520,0.515
10,19268,1111906,530,0.52
10,19210,1131174,540,0.52
10,19153,1150384,550,0.52
10,19095,1169537,560,0.525
10,19038,1188632,570,0.525
10,18982,1207670,580,0.525
10,18925,1226652,590,0.53
10,18869,1245577,600,0.53
10,18813,1264446,610,0.53
10,18757,1283259,620,0.535
10,18702,1302016,630,0.535
10,18646,1320718,640,0.535
10,18592,1339364,650,0.54
10,18537,1357956,660,0.54
10,18482,1376493,670,0.54
10,18428,1394975,680,0.54
10,18375,1413403,690,0.545
10,18320,1431778,700,0.545
10,18268,1450098,710,0.545
10,18214,1468366,720,0.55
10,18161,1486580,730,0.55
10,18108,1504741,740,0.55
10,18057,1522849,750,0.555
10,18003,1540906,760,0.555
10,17952,1558909,770,0.555
10,17900,1576861,780,0.56
10,17849,1594761,790,0.56
10,17798,1612610,800,0.56
10,17746,1630408,810,0.565
10,17696,1648154,820,0.565
10,17645,1665850,830,0.565
10,17594,1683495,840,0.57
10,17545,1701089,850,0.57
10,17495,1718634,860,0.57
10,17445,1736129,870,0.575
10,17396,1753574,880,0.575
10,17346,1770970,890,0.575
10,17298,1788316,900,0.58
10,17248,1805614,910,0.58
10,17201,1822862,920,0.58
10,17152,1840063,930,0.585
10,17103,1857215,940,0.585
10,17056,1874318,950,0.585
10,17008,1891374,960,0.59
10,16961,1908382,970,0.59
10,16914,1925343,980,0.59
10,16866,1942257,990,0.59
10,16820,1959123,1000,0.595
10,16773,1975943,1010,0.595
10,16726,1992716,1020,0.595
10,16680,2009442,1030,0.6
10,16635,2026122,1040,0.6
10,16588,2042757,1050,0.6
10,16543,2059345,1060,0.605
10,16498,2075888,1070,0.605
10,16452,2092386,1080,0.605
10,16407,2108838,1090,0.61
10,16362,2125245,1100,0.61
10,16318,2141607,1110,0.615
10,16273,2157925,1120,0.615
10,16229,2174198,1130,0.615
10,16186,2190427,1140,0.62
10,16141,2206613,1150,0.62
10,16097,2222754,1160,0.62
10,16054,2238851,1170,0.625
10,16011,2254905,1180,0.625
10,15968,2270916,1190,0.625
10,15924,2286884,1200,0.625
10,15882,2302808,1210,0.63
10,15840,2318690,1220,0.63
10,15797,2334530,1230,0.635
10,15755,2350327,1240,0.635
10,15713,2366082,1250,0.635
