purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
10,15373,15411,10,0.65
10,15334,30784,20,0.65
10,15296,46118,30,0.655
10,15258,61414,40,0.655
10,15220,76672,50,0.655
10,15182,91892,60,0.66
10,15144,107074,70,0.66
10,15107,122218,80,0.66
10,15069,137325,90,0.665
10,15032,152394,100,0.665
10,14995,167426,110,0.67
10,14958,182421,120,0.67
10,14922,197379,130,0.67
10,14884,212301,140,0.67
10,14848,227185,150,0.675
10,14812,242033,160,0.675
10,14776,256845,170,0.675
10,14739,271621,180,0.68
10,14704,286360,190,0.68
10,14668,301064,200,0.68
10,14632,315732,210,0.685
10,14596,330364,220,0.685
10,14561,344960,230,0.685
10,14526,359521,240,0.69
10,14491,374047,250,0.69
10,14456,388538,260,0.69
10,14421,402994,270,0.695
10,14386,417415,280,0.695
10,14352,431801,290,0.695
10,14317,446153,300,0.7
10,14283,460470,310,0.7
10,14249,474753,320,0.7
10,14215,489002,330,0.705
10,14181,503217,340,0.705
10,14147,517398,350,0.705
10,14113,531545,360,0.71
10,14080,545658,370,0.71
10,14047,559738,380,0.715
10,14013,573785,390,0.715
10,13981,587798,400,0.715
10,13947,601779,410,0.715
10,13914,615726,420,0.72
10,13882,629640,430,0.72
10,13849,643522,440,0.72
10,13816,657371,450,0.725
10,13784,671187,460,0.725
10,13752,684971,470,0.73
10,13719,698723,480,0.73
10,13688,712442,490,0.73
10,13656,726130,500,0.735
10,13624,739786,510,0.735
10,13592,753410,520,0.735
10,13561,767002,530,0.74
10,13529,780563,540,0.74
10,13498,794092,550,0.74
10,13467,807590,560,0.745
10,13436,821057,570,0.745
10,13405,834493,580,0.745
10,13374,847898,590,0.75
10,13343,861272,600,0.75
10,13313,874615,610,0.75
10,13282,887928,620,0.755
10,13252,901210,630,0.755
10,13221,914462,640,0.755
10,13192,927683,650,0.76
10,13161,940875,660,0.76
10,13131,954036,670,0.76
10,13102,967167,680,0.765
10,13072,980269,690,0.765
10,13042,993341,700,0.765
10,13013,1006383,710,0.77
10,12983,1019396,720,0.77
10,12954,1032379,730,0.775
10,12925,1045333,740,0.775
10,12896,1058258,750,0.775
10,12867,1071154,760,0.78
10,12838,1084021,770,0.78
10,12809,1096859,780,0.78
10,12781,1109668,790,0.785
10,12752,1122449,800,0.785
10,12724,1135201,810,0.785
10,12695,1147925,820,0.79
10,12667,1160620,830,0.79
10,12639,1173287,840,0.79
10,12611,1185926,850,0.795
10,12583,1198537,860,0.795
10,12556,1211120,870,0.795
10,12527,1223676,880,0.8
10,12500,1236203,890,0.8
10,12472,1248703,900,0.8
10,12445,1261175,910,0.805
10,12418,1273620,920,0.805
10,12390,1286038,930,0.805
10,12363,1298428,940,0.81
10,12337,1310791,950,0.81
10,12309,1323128,960,0.815
10,12282,1335437,970,0.815
10,12256,1347719,980,0.815
10,12229,1359975,990,0.82
10,12202,1372204,1000,0.82
10,12176,1384406,1010,0.82
10,12150,1396582,1020,0.825
10,12123,1408732,1030,0.825
10,12097,1420855,1040,0.825
10,12071,1432952,1050,0.83
10,12045,1445023,1060,0.83
10,12019,1457068,1070,0.835
10,11994,1469087,1080,0.835
10,11967,1481081,1090,0.835
10,11942,1493048,1100,0.84
10,11917,1504990,1110,0.84
10,11891,1516907,1120,0.84
10,11865,1528798,1130,0.845
10,11840,1540663,1140,0.845
10,11816,1552503,1150,0.845
10,11790,1564319,1160,0.85
10,11764,1576109,1170,0.85
10,11740,1587873,1180,0.855
10,11716,1599613,1190,0.855
10,11690,1611329,1200,0.855
10,11666,1623019,1210,0.86
10,11641,1634685,1220,0.86
10,11617,1646326,1230,0.86
10,11592,1657943,1240,0.865
10,11568,1669535,1250,0.865
