purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1,1672,1672,1,0.595,1672
1,1672,3344,2,0.6,1672
1,1672,5016,3,0.6,1672
1,1670,6688,4,0.595,1672
1,1671,8358,5,0.6,1670
1,1670,10029,6,0.6,1671
1,1669,11699,7,0.6,1670
1,1669,13368,8,0.6,1669
1,1669,15037,9,0.6,1669
1,1668,16706,10,0.6,1669
1,1668,18374,11,0.6,1668
1,1667,20042,12,0.6,1668
1,1667,21709,13,0.6,1667
1,1666,23376,14,0.6,1667
1,1666,25042,15,0.6,1666
1,1665,26708,16,0.6,1666
1,1665,28373,17,0.6,1665
1,1664,30038,18,0.6,1665
1,1664,31702,19,0.6,1664
1,1664,33366,20,0.6,1664
1,1663,35030,21,0.6,1664
1,1662,36693,22,0.6,1663
1,1662,38355,23,0.6,1662
1,1662,40017,24,0.6,1662
1,1661,41679,25,0.6,1662
1,1661,43340,26,0.6,1661
1,1660,45001,27,0.6,1661
1,1660,46661,28,0.6,1660
1,1659,48321,29,0.6,1660
1,1659,49980,30,0.6,1659
1,1659,51639,31,0.6,1659
1,1658,53298,32,0.6,1659
1,1657,54956,33,0.6,1658
1,1657,56613,34,0.605,1657
1,1657,58270,35,0.605,1657
1,1656,59927,36,0.605,1657
1,1656,61583,37,0.605,1656
1,1655,63239,38,0.605,1656
1,1655,64894,39,0.605,1655
1,1654,66549,40,0.605,1655
1,1654,68203,41,0.605,1654
1,1654,69857,42,0.605,1654
1,1653,71511,43,0.605,1654
1,1652,73164,44,0.605,1653
1,1652,74816,45,0.605,1652
1,1652,76468,46,0.605,1652
1,1651,78120,47,0.605,1652
1,1651,79771,48,0.605,1651
1,1650,81422,49,0.605,1651
1,1650,83072,50,0.605,1650
1,1649,84722,51,0.605,1650
1,1649,86371,52,0.605,1649
1,1649,88020,53,0.605,1649
1,1648,89669,54,0.605,1649
1,1647,91317,55,0.605,1648
1,1647,92964,56,0.605,1647
1,1647,94611,57,0.605,1647
1,1646,96258,58,0.605,1647
1,1646,97904,59,0.605,1646
1,1645,99550,60,0.605,1646
1,1645,101195,61,0.605,1645
1,1644,102840,62,0.605,1645
1,1644,104484,63,0.61,1644
1,1644,106128,64,0.61,1644
1,1643,107772,65,0.61,1644
1,1642,109415,66,0.61,1643
1,1643,111057,67,0.61,1642
1,1641,112700,68,0.61,1643
1,1642,114341,69,0.61,1641
1,1640,115983,70,0.61,1642
1,1641,117623,71,0.61,1640
1,1640,119264,72,0.61,1641
1,1639,120904,73,0.61,1640
1,1639,122543,74,0.61,1639
1,1638,124182,75,0.61,1639
1,1639,125820,76,0.61,1638
1,1637,127459,77,0.61,1639
1,1637,129096,78,0.61,1637
1,1637,130733,79,0.61,1637
1,1636,132370,80,0.61,1637
1,1636,134006,81,0.61,1636
1,1636,135642,82,0.61,1636
1,1635,137278,83,0.61,1636
1,1634,138913,84,0.61,1635
1,1634,140547,85,0.61,1634
1,1634,142181,86,0.61,1634
1,1633,143815,87,0.61,1634
1,1633,145448,88,0.61,1633
1,1632,147081,89,0.61,1633
1,1632,148713,90,0.61,1632
1,1631,150345,91,0.61,1632
1,1631,151976,92,0.615,1631
1,1631,153607,93,0.615,1631
1,1630,155238,94,0.615,1631
1,1630,156868,95,0.615,1630
1,1629,158498,96,0.615,1630
1,1628,160127,97,0.615,1629
1,1629,161755,98,0.615,1628
1,1628,163384,99,0.615,1629
1,1627,165012,100,0.615,1628
1,1627,166639,101,0.615,1627
1,1626,168266,102,0.615,1627
1,1626,169892,103,0.615,1626
1,1626,171518,104,0.615,1626
1,1625,173144,105,0.615,1626
1,1625,174769,106,0.615,1625
1,1624,176394,107,0.615,1625
1,1624,178018,108,0.615,1624
1,1624,179642,109,0.615,1624
1,1623,181266,110,0.615,1624
1,1622,182889,111,0.615,1623
1,1622,184511,112,0.615,1622
1,1622,186133,113,0.615,1622
1,1621,187755,114,0.615,1622
1,1621,189376,115,0.615,1621
1,1620,190997,116,0.615,1621
1,1620,192617,117,0.615,1620
1,1619,194237,118,0.615,1620
1,1619,195856,119,0.615,1619
1,1619,197475,120,0.615,1619
1,1618,199094,121,0.615,1619
1,1618,200712,122,0.615,1618
1,1617,202330,123,0.615,1618
1,1617,203947,124,0.62,1617
1,1616,205564,125,0.62,1617
