purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1000,1578393,2271527,1000,0.538
1000,1179231,3849920,2000,0.743
1000,928392,5029151,3000,0.966
1000,760491,5957543,4000,1.198
1000,642591,6718034,5000,1.439
1000,556634,7360625,6000,1.68
1000,492035,7917259,7000,1.918
1000,442259,8409294,8000,2.15
1000,403095,8851553,9000,2.376
1000,371724,9254648,10000,2.59
1000,346209,9626372,11000,2.795
1000,325178,9972581,12000,2.988
1000,307637,10297759,13000,3.166
1000,292854,10605396,14000,3.335
1000,280283,10898250,15000,3.498
1000,269499,11178533,16000,3.643
1000,260182,11448032,17000,3.782
1000,252077,11708214,18000,3.909
1000,244980,11960291,19000,4.027
1000,238734,12205271,20000,4.139
1000,233205,12444005,21000,4.242
1000,228291,12677210,22000,4.339
1000,223900,12905501,23000,4.427
1000,219963,13129401,24000,4.509
1000,216418,13349364,25000,4.585
1000,213217,13565782,26000,4.661
1000,210313,13778999,27000,4.725
1000,207675,13989312,28000,4.789
1000,205267,14196987,29000,4.844
1000,203066,14402254,30000,4.902
1000,201048,14605320,31000,4.951
1000,199193,14806368,32000,5
1000,197485,15005561,33000,5.046
1000,195907,15203046,34000,5.086
1000,194448,15398953,35000,5.126
1000,193095,15593401,36000,5.163
1000,191839,15786496,37000,5.2
1000,190670,15978335,38000,5.231
1000,189580,16169005,39000,5.262
1000,188564,16358585,40000,5.296
1000,187614,16547149,41000,5.324
1000,186723,16734763,42000,5.346
1000,185890,16921486,43000,5.374
1000,185105,17107376,44000,5.393
1000,184369,17292481,45000,5.418
1000,183676,17476850,46000,5.44
1000,183023,17660526,47000,5.459
1000,182406,17843549,48000,5.478
1000,181825,18025955,49000,5.497
1000,181273,18207780,50000,5.51
1000,180753,18389053,51000,5.529
1000,180259,18569806,52000,5.545
1000,179791,18750065,53000,5.558
1000,179347,18929856,54000,5.574
1000,178924,19109203,55000,5.584
1000,178524,19288127,56000,5.6
1000,178141,19466651,57000,5.607
1000,177777,19644792,58000,5.62
1000,177431,19822569,59000,5.633
1000,177099,20000000,60000,5.64
1000,176784,20177099,61000,5.656
1000,176483,20353883,62000,5.663
1000,176211,20530366,63000,5.667
1000,175898,20706577,64000,5.578
1000,175655,20882475,65000,5.702
1000,175401,21058130,66000,5.703
1000,175159,21233531,67000,5.71
1000,174926,21408690,68000,5.717
1000,174703,21583616,69000,5.724
1000,174489,21758319,70000,5.734
1000,174284,21932808,71000,5.741
1000,174085,22107092,72000,5.745
1000,173896,22281177,73000,5.755
1000,173713,22455073,74000,5.759
1000,173537,22628786,75000,5.763
1000,173367,22802323,76000,5.77
1000,173204,22975690,77000,5.777
1000,173047,23148894,78000,5.784
1000,172895,23321941,79000,5.788
1000,172749,23494836,80000,5.792
1000,172607,23667585,81000,5.793
1000,172471,23840192,82000,5.8
1000,172339,24012663,83000,5.801
1000,172211,24185002,84000,5.805
1000,172089,24357213,85000,5.815
1000,171969,24529302,86000,5.816
1000,171854,24701271,87000,5.823
1000,171743,24873125,88000,5.827
1000,171635,25044868,89000,5.828
1000,171530,25216503,90000,5.832
1000,171429,25388033,91000,5.836
1000,171331,25559462,92000,5.84
1000,171236,25730793,93000,5.844
1000,171144,25902029,94000,5.845
1000,171054,26073173,95000,5.846
1000,170967,26244227,96000,5.85
1000,170883,26415194,97000,5.854
1000,170801,26586077,98000,5.858
1000,170722,26756878,99000,5.862
1000,170645,26927600,100000,5.863
1000,170569,27098245,101000,5.864
1000,170497,27268814,102000,5.871
1000,170426,27439311,103000,5.872
1000,170357,27609737,104000,5.873
1000,170289,27780094,105000,5.874
1000,170225,27950383,106000,5.881
1000,170161,28120608,107000,5.882
1000,170099,28290769,108000,5.883
1000,170040,28460868,109000,5.887
1000,169980,28630908,110000,5.885
1000,169923,28800888,111000,5.889
1000,169868,28970811,112000,5.893
1000,169814,29140679,113000,5.894
1000,169760,29310493,114000,5.892
1000,169710,29480253,115000,5.899
1000,169658,29649963,116000,5.894
1000,169610,29819621,117000,5.901
1000,169562,29989231,118000,5.902
1000,169516,30158793,119000,5.906
1000,169470,30328309,120000,5.904
1000,169425,30497779,121000,5.902
1000,169382,30667204,122000,5.906
1000,169339,30836586,123000,5.907
1000,169298,31005925,124000,5.911
1000,169258,31175223,125000,5.915
