purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1000,869684,1056995,1000,1.05
1000,732464,1926679,2000,1.26
1000,628937,2659143,3000,1.48
1000,548905,3288080,4000,1.705
1000,485761,3836985,5000,1.94
1000,435063,4322746,6000,2.18
1000,393744,4757809,7000,2.42
1000,359624,5151553,8000,2.665
1000,331123,5511177,9000,2.905
1000,307070,5842300,10000,3.14
1000,286586,6149370,11000,3.375
1000,268999,6435956,12000,3.605
1000,253787,6704955,13000,3.835
1000,240539,6958742,14000,4.05
1000,228934,7199281,15000,4.27
1000,218708,7428215,16000,4.475
1000,209653,7646923,17000,4.675
1000,201595,7856576,18000,4.865
1000,194395,8058171,19000,5.055
1000,187933,8252566,20000,5.235
1000,182114,8440499,21000,5.41
1000,176852,8622613,22000,5.575
1000,172082,8799465,23000,5.74
1000,167743,8971547,24000,5.895
1000,163782,9139290,25000,6.035
1000,160161,9303072,26000,6.18
1000,156839,9463233,27000,6.315
1000,153784,9620072,28000,6.44
1000,150969,9773856,29000,6.565
1000,148371,9924825,30000,6.69
1000,145965,10073196,31000,6.8
1000,143734,10219161,32000,6.905
1000,141663,10362895,33000,7.015
1000,139735,10504558,34000,7.11
1000,137937,10644293,35000,7.205
1000,136260,10782230,36000,7.3
1000,134690,10918490,37000,7.385
1000,133221,11053180,38000,7.475
1000,131844,11186401,39000,7.555
1000,130549,11318245,40000,7.625
1000,129332,11448794,41000,7.7
1000,128188,11578126,42000,7.775
1000,127107,11706314,43000,7.835
1000,126089,11833421,44000,7.905
1000,125127,11959510,45000,7.965
1000,124216,12084637,46000,8.025
1000,123355,12208853,47000,8.085
1000,122538,12332208,48000,8.14
1000,121765,12454746,49000,8.195
1000,121029,12576511,50000,8.24
1000,120331,12697540,51000,8.29
1000,119666,12817871,52000,8.335
1000,119035,12937537,53000,8.385
1000,118432,13056572,54000,8.425
1000,117858,13175004,55000,8.47
1000,117311,13292862,56000,8.51
1000,116787,13410173,57000,8.545
1000,116289,13526960,58000,8.59
1000,115810,13643249,59000,8.62
1000,115354,13759059,60000,8.66
1000,114917,13874413,61000,8.69
1000,114497,13989330,62000,8.72
1000,114096,14103827,63000,8.755
1000,113711,14217923,64000,8.785
1000,113342,14331634,65000,8.815
1000,112987,14444976,66000,8.84
1000,112646,14557963,67000,8.87
1000,112319,14670609,68000,8.895
1000,112003,14782928,69000,8.915
1000,111701,14894931,70000,8.945
1000,111408,15006632,71000,8.965
1000,111128,15118040,72000,8.995
1000,110857,15229168,73000,9.015
1000,110597,15340025,74000,9.04
1000,110344,15450622,75000,9.055
1000,110102,15560966,76000,9.08
1000,109868,15671068,77000,9.095
1000,109641,15780936,78000,9.11
1000,109423,15890577,79000,9.13
1000,109211,16000000,80000,9.145
1000,109007,16109211,81000,9.17
1000,108810,16218218,82000,9.185
1000,108619,16327028,83000,9.2
1000,108434,16435647,84000,9.215
1000,108255,16544081,85000,9.225
1000,108082,16652336,86000,9.24
1000,107924,16760418,87000,9.245
1000,107734,16868342,88000,9.16
1000,107595,16976076,89000,9.33
1000,107440,17083671,90000,9.32
1000,107292,17191111,91000,9.33
1000,107147,17298403,92000,9.335
1000,107007,17405550,93000,9.35
1000,106872,17512557,94000,9.365
1000,106740,17619429,95000,9.375
1000,106611,17726169,96000,9.38
1000,106487,17832780,97000,9.4
1000,106366,17939267,98000,9.41
1000,106249,18045633,99000,9.42
1000,106134,18151882,100000,9.425
1000,106023,18258016,101000,9.435
1000,105914,18364039,102000,9.44
1000,105809,18469953,103000,9.455
1000,105706,18575762,104000,9.465
1000,105607,18681468,105000,9.475
1000,105509,18787075,106000,9.48
1000,105414,18892584,107000,9.49
1000,105322,18997998,108000,9.5
1000,105232,19103320,109000,9.505
1000,105144,19208552,110000,9.515
1000,105059,19313696,111000,9.525
1000,104975,19418755,112000,9.525
1000,104893,19523730,113000,9.535
1000,104815,19628623,114000,9.55
1000,104736,19733438,115000,9.55
1000,104661,19838174,116000,9.56
1000,104588,19942835,117000,9.57
1000,104515,20047423,118000,9.57
1000,104444,20151938,119000,9.575
1000,104376,20256382,120000,9.59
1000,104309,20360758,121000,9.595
1000,104243,20465067,122000,9.595
1000,104179,20569310,123000,9.6
1000,104116,20673489,124000,9.605
1000,104054,20777605,125000,9.615
