purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
1000,1085579,1342815,1000,0.835
1000,900716,2428394,2000,1.015
1000,763406,3329110,3000,1.21
1000,658625,4092516,4000,1.415
1000,576852,4751141,5000,1.625
1000,511809,5327993,6000,1.845
1000,459226,5839802,7000,2.07
1000,416108,6299028,8000,2.29
1000,380314,6715136,9000,2.52
1000,350275,7095450,10000,2.745
1000,324818,7445725,11000,2.97
1000,303058,7770543,12000,3.195
1000,284310,8073601,13000,3.41
1000,268045,8357911,14000,3.625
1000,253841,8625956,15000,3.84
1000,241366,8879797,16000,4.045
1000,230349,9121163,17000,4.25
1000,220571,9351512,18000,4.44
1000,211854,9572083,19000,4.635
1000,204050,9783937,20000,4.815
1000,197033,9987987,21000,4.99
1000,190705,10185020,22000,5.165
1000,184975,10375725,23000,5.33
1000,179772,10560700,24000,5.49
1000,175033,10740472,25000,5.645
1000,170703,10915505,26000,5.79
1000,166739,11086208,27000,5.935
1000,163097,11252947,28000,6.065
1000,159747,11416044,29000,6.2
1000,156656,11575791,30000,6.325
1000,153800,11732447,31000,6.45
1000,151153,11886247,32000,6.56
1000,148697,12037400,33000,6.675
1000,146415,12186097,34000,6.785
1000,144289,12332512,35000,6.885
1000,142305,12476801,36000,6.985
1000,140453,12619106,37000,7.08
1000,138718,12759559,38000,7.17
1000,137094,12898277,39000,7.26
1000,135570,13035371,40000,7.345
1000,134137,13170941,41000,7.42
1000,132789,13305078,42000,7.495
1000,131520,13437867,43000,7.575
1000,130323,13569387,44000,7.645
1000,129193,13699710,45000,7.715
1000,128125,13828903,46000,7.78
1000,127114,13957028,47000,7.84
1000,126157,14084142,48000,7.905
1000,125250,14210299,49000,7.96
1000,124389,14335549,50000,8.02
1000,123572,14459938,51000,8.075
1000,122794,14583510,52000,8.12
1000,122055,14706304,53000,8.175
1000,121351,14828359,54000,8.225
1000,120681,14949710,55000,8.27
1000,120040,15070391,56000,8.31
1000,119431,15190431,57000,8.36
1000,118847,15309862,58000,8.395
1000,118290,15428709,59000,8.44
1000,117758,15546999,60000,8.48
1000,117248,15664757,61000,8.515
1000,116759,15782005,62000,8.55
1000,116292,15898764,63000,8.59
1000,115843,16015056,64000,8.62
1000,115413,16130899,65000,8.655
1000,115001,16246312,66000,8.69
1000,114604,16361313,67000,8.715
1000,114223,16475917,68000,8.745
1000,113856,16590140,69000,8.77
1000,113504,16703996,70000,8.805
1000,113166,16817500,71000,8.835
1000,112838,16930666,72000,8.85
1000,112525,17043504,73000,8.885
1000,112221,17156029,74000,8.905
1000,111929,17268250,75000,8.93
1000,111648,17380179,76000,8.955
1000,111375,17491827,77000,8.97
1000,111113,17603202,78000,8.995
1000,110860,17714315,79000,9.02
1000,110614,17825175,80000,9.035
1000,110378,17935789,81000,9.055
1000,110148,18046167,82000,9.07
1000,109928,18156315,83000,9.1
1000,109713,18266243,84000,9.11
1000,109505,18375956,85000,9.125
1000,109305,18485461,86000,9.15
1000,109111,18594766,87000,9.165
1000,108921,18703877,88000,9.175
1000,108739,18812798,89000,9.195
1000,108562,18921537,90000,9.215
1000,108390,19030099,91000,9.225
1000,108224,19138489,92000,9.245
1000,108062,19246713,93000,9.25
1000,107904,19354775,94000,9.26
1000,107752,19462679,95000,9.28
1000,107604,19570431,96000,9.295
1000,107460,19678035,97000,9.305
1000,107320,19785495,98000,9.32
1000,107185,19892815,99000,9.33
1000,107051,20000000,100000,9.335
1000,106924,20107051,101000,9.355
1000,106798,20213975,102000,9.36
1000,106677,20320773,103000,9.37
1000,106558,20427450,104000,9.375
1000,106443,20534008,105000,9.385
1000,106332,20640451,106000,9.39
1000,106211,20746783,107000,9.385
1000,106119,20852994,108000,9.485
1000,106011,20959113,109000,9.45
1000,105909,21065124,110000,9.45
1000,105810,21171033,111000,9.455
1000,105714,21276843,112000,9.465
1000,105620,21382557,113000,9.47
1000,105528,21488177,114000,9.475
1000,105439,21593705,115000,9.485
1000,105351,21699144,116000,9.495
1000,105267,21804495,117000,9.505
1000,105183,21909762,118000,9.51
1000,105102,22014945,119000,9.515
1000,105022,22120047,120000,9.525
1000,104946,22225069,121000,9.54
1000,104869,22330015,122000,9.535
1000,104796,22434884,123000,9.55
1000,104723,22539680,124000,9.55
1000,104653,22644403,125000,9.56
