purchaseAmount,tokensPurchased,contractTokenBalance,contractReservesBalance,refundPerThousand
100,5971585,8358601,100,0.015
100,4480259,14330186,200,0.02
100,3486317,18810445,300,0.025
100,2790706,22296762,400,0.035
100,2284894,25087468,500,0.04
100,1905587,27372362,600,0.05
100,1613847,29277949,700,0.06
100,1384644,30891796,800,0.07
100,1201297,32276440,900,0.08
100,1052338,33477737,1000,0.09
100,929674,34530075,1100,0.105
100,827460,35459749,1200,0.115
100,741389,36287209,1300,0.13
100,668232,37028598,1400,0.145
100,605528,37696830,1500,0.16
100,551377,38302358,1600,0.175
100,504291,38853735,1700,0.19
100,463091,39358026,1800,0.21
100,426836,39821117,1900,0.225
100,394766,40247953,2000,0.245
100,366260,40642719,2100,0.265
100,340808,41008979,2200,0.285
100,317989,41349787,2300,0.305
100,297454,41667776,2400,0.325
100,278905,41965230,2500,0.35
100,262096,42244135,2600,0.37
100,246815,42506231,2700,0.395
100,232883,42753046,2800,0.42
100,220145,42985929,2900,0.445
100,208468,43206074,3000,0.47
100,197739,43414542,3100,0.495
100,187857,43612281,3200,0.52
100,178735,43800138,3300,0.55
100,170297,43978873,3400,0.575
100,162476,44149170,3500,0.605
100,155215,44311646,3600,0.63
100,148460,44466861,3700,0.66
100,142166,44615321,3800,0.69
100,136291,44757487,3900,0.72
100,130799,44893778,4000,0.75
100,125659,45024577,4100,0.78
100,120839,45150236,4200,0.815
100,116314,45271075,4300,0.845
100,112061,45387389,4400,0.88
100,108059,45499450,4500,0.91
100,104287,45607509,4600,0.945
100,100728,45711796,4700,0.98
100,97368,45812524,4800,1.01
100,94191,45909892,4900,1.045
100,91183,46004083,5000,1.08
100,88335,46095266,5100,1.115
100,85633,46183601,5200,1.15
100,83069,46269234,5300,1.19
100,80633,46352303,5400,1.225
100,78318,46432936,5500,1.26
100,76113,46511254,5600,1.295
100,74014,46587367,5700,1.335
100,72014,46661381,5800,1.37
100,70105,46733395,5900,1.41
100,68284,46803500,6000,1.45
100,66544,46871784,6100,1.485
100,64881,46938328,6200,1.525
100,63290,47003209,6300,1.565
100,61767,47066499,6400,1.6
100,60309,47128266,6500,1.64
100,58912,47188575,6600,1.68
100,57571,47247487,6700,1.72
100,56285,47305058,6800,1.76
100,55051,47361343,6900,1.8
100,53866,47416394,7000,1.84
100,52726,47470260,7100,1.88
100,51630,47522986,7200,1.92
100,50577,47574616,7300,1.96
100,49562,47625193,7400,2
100,48585,47674755,7500,2.04
100,47643,47723340,7600,2.08
100,46737,47770983,7700,2.125
100,45862,47817720,7800,2.165
100,45018,47863582,7900,2.205
100,44204,47908600,8000,2.245
100,43417,47952804,8100,2.285
100,42658,47996221,8200,2.325
100,41924,48038879,8300,2.37
100,41215,48080803,8400,2.41
100,40528,48122018,8500,2.45
100,39865,48162546,8600,2.49
100,39222,48202411,8700,2.53
100,38601,48241633,8800,2.575
100,37998,48280234,8900,2.615
100,37415,48318232,9000,2.655
100,36850,48355647,9100,2.695
100,36302,48392497,9200,2.74
100,35771,48428799,9300,2.78
100,35255,48464570,9400,2.82
100,34755,48499825,9500,2.86
100,34269,48534580,9600,2.9
100,33798,48568849,9700,2.94
100,33341,48602647,9800,2.985
100,32896,48635988,9900,3.02
100,32464,48668884,10000,3.065
100,32044,48701348,10100,3.105
100,31636,48733392,10200,3.145
100,31239,48765028,10300,3.185
100,30852,48796267,10400,3.22
100,30477,48827119,10500,3.265
100,30111,48857596,10600,3.305
100,29755,48887707,10700,3.345
100,29409,48917462,10800,3.385
100,29071,48946871,10900,3.425
100,28742,48975942,11000,3.465
100,28422,49004684,11100,3.505
100,28110,49033106,11200,3.54
100,27805,49061216,11300,3.58
100,27509,49089021,11400,3.62
100,27219,49116530,11500,3.655
100,26936,49143749,11600,3.695
100,26662,49170685,11700,3.735
100,26392,49197347,11800,3.77
100,26131,49223739,11900,3.81
100,25874,49249870,12000,3.85
100,25624,49275744,12100,3.885
100,25380,49301368,12200,3.925
100,25142,49326748,12300,3.965
100,24909,49351890,12400,4
100,24681,49376799,12500,4.035
